 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Der har været perioder, hvor jeg troede, det var slut, men vi er hele tiden kommet igen, og lige nu føler jeg, at vi er på toppen.
1-1	Der	der	US:----:--:----	
34-58	ledet	_	_	
34-59	og	_	_	
34-60	gjort	_	_	
34-61	til	_	_	
34-62	et	_	_	
34-63	arnested	_	_	
34-64	for	_	_	
34-65	sin	_	_	
34-66	egen	_	_	
34-67	dramatik	_	_	
34-68	og	_	_	
34-69	sit	_	_	
34-70	eget	_	_	
34-71	ensemble	_	_	
34-72	.	_	_	

#id=35
#text="Man formodes at være på toppen af det hele, når man har opnået en vigtig post på Wall Street", fremhæver en ledende finansmand, som har været i behandling for alkoholmisbrug i adskillige måneder.
35-1	"	_	_	
35-2	Man	_	_	
35-3	formodes	_	_	
35-4	at	_	_	
35-5	være	_	_	
35-6	på	_	_	
35-7	toppen	_	_	
35-8	af	_	_	
35-9	det	_	_	
35-10	hele	_	_	
35-11	,	_	_	
35-12	når	_	_	
35-13	man	_	_	
35-14	har	_	_	
35-15	opnået	_	_	
35-16	en	_	_	
35-17	vigtig	_	_	
35-18	post	_	_	
35-19	på	_	_	
35-20	Wall	_	_	
35-21	Street	_	_	
35-22	"	_	_	
35-23	,	_	_	
35-24	fremhæver	_	_	
35-25	en	_	_	
35-26	ledende	_	_	
35-27	finansmand	_	_	
35-28	,	_	_	
35-29	som	_	_	
35-30	har	_	_	
35-31	været	_	_	
35-32	i	_	_	
35-33	behandling	_	_	
35-34	for	_	_	
35-35	alkoholmisbrug	_	_	
35-36	i	_	_	
35-37	adskillige	_	_	
35-38	måneder	_	_	
35-39	.	_	_	

#id=36
#text= Mit kapitel skulle handle om, hvor der er flest ateister og ikke troende, og her var Danmark og Sverige klart i toppen.
36-1	Mit	_	_	
36-2	kapitel	_	_	
36-3	skulle	_	_	
36-4	handle	_	_	
36-5	om	_	_	
36-6	,	_	_	
36-7	hvor	_	_	
36-8	der	_	_	
36-9	er	_	_	
36-10	flest	_	_	
36-11	ateister	_	_	
36-12	og	_	_	
36-13	ikke	_	_	
36-14	troende	_	_	
36-15	,	_	_	
36-16	og	_	_	
36-17	her	_	_	
36-18	var	_	_	
36-19	Danmark	_	_	
36-20	og	_	_	
36-21	Sverige	_	_	
36-22	klart	_	_	
36-23	i	_	_	
36-24	toppen	_	_	
36-25	.	_	_	

#id=37
#text= Samtidig vidste jeg, at Danmark og Sverige er nogle af verdens rigeste samfund, og de ligger altid i toppen af undersøgelser over velfærd, social lighed og harmoni.
37-1	Samtidig	_	_	
37-2	vidste	_	_	
37-3	jeg	_	_	
37-4	,	_	_	
37-5	at	_	_	
37-6	Danmark	_	_	
37-7	og	_	_	
37-8	Sverige	_	_	
37-9	er	_	_	
37-10	nogle	_	_	
37-11	af	_	_	
37-12	verdens	_	_	
37-13	rigeste	_	_	
37-14	samfund	_	_	
37-15	,	_	_	
37-16	og	_	_	
37-17	de	_	_	
37-18	ligger	_	_	
37-19	altid	_	_	
37-20	i	_	_	
37-21	toppen	_	_	
37-22	af	_	_	
37-23	undersøgelser	_	_	
37-24	over	_	_	
37-25	velfærd	_	_	
37-26	,	_	_	
37-27	social	_	_	
37-28	lighed	_	_	
37-29	og	_	_	
37-30	harmoni	_	_	
37-31	.	_	_	

#id=38
#text= Th3 10 Stilling i toppen efter 6.
38-1	Th3	_	_	
38-2	10	_	_	
38-3	Stilling	_	_	
38-4	i	_	_	
38-5	toppen	_	_	
38-6	efter	_	_	
38-7	6	_	_	
38-8	.	_	_	

#id=39
#text=  Spillet flød bedre, og man så, hvorfor AaB har haft så flot en sæsonstart, og hvorfor Brøndby er med i toppen.
39-1	Spillet	_	_	
39-2	flød	_	_	
39-3	bedre	_	_	
39-4	,	_	_	
39-5	og	_	_	
39-6	man	_	_	
39-7	så	_	_	
39-8	,	_	_	
39-9	hvorfor	_	_	
39-10	AaB	_	_	
39-11	har	_	_	
39-12	haft	_	_	
39-13	så	_	_	
39-14	flot	_	_	
39-15	en	_	_	
39-16	sæsonstart	_	_	
39-17	,	_	_	
39-18	og	_	_	
39-19	hvorfor	_	_	
39-20	Brøndby	_	_	
39-21	er	_	_	
39-22	med	_	_	
39-23	i	_	_	
39-24	toppen	_	_	
39-25	.	_	_	

#id=40
#text=Det gav endnu en gang pote, og OB er tilbage i toppen, mens Esbjerglejren kan ærgre sig over, at de stadig kun er et par point over nedrykningsstregen.
40-1	Det	_	_	
40-2	gav	_	_	
40-3	endnu	_	_	
40-4	en	_	_	
40-5	gang	_	_	
40-6	pote	_	_	
40-7	,	_	_	
40-8	og	_	_	
40-9	OB	_	_	
40-10	er	_	_	
40-11	tilbage	_	_	
40-12	i	_	_	
40-13	toppen	_	_	
40-14	,	,	ZD	
40-15	mens	_	_	
40-16	Esbjerglejren	_	_	
40-17	kan	_	_	
40-18	ærgre	_	_	
40-19	sig	_	_	
40-20	over	over	T-:----:--:----	
40-21	,	_	_	
40-22	at	_	_	
40-23	de	_	_	
40-24	stadig	_	_	
40-25	kun	_	_	
40-26	er	_	_	
40-27	et	_	_	
40-28	par	_	_	
40-29	point	_	_	
40-30	over	_	_	
40-31	nedrykningsstregen	_	_	
40-32	.	_	_	

#id=41
#text=Scoringen sendte FC København op i tempo, og de fik tilspillet sig flere chancer, og Morten Nordstrand, der endelig havde fået en startplads, fungerede godt sammen med  Santin på FCK-toppen.
41-1	Scoringen	_	_	
41-2	sendte	_	_	
41-3	FC	_	_	
41-4	København	_	_	
41-5	op	_	_	
41-6	i	_	_	
41-7	tempo	_	_	
41-8	,	,	ZD	
41-9	og	og	CC:----:--:----	
41-10	de	_	_	
41-11	fik	_	_	
41-12	tilspillet	_	_	
41-13	sig	_	_	
41-14	flere	_	_	
41-15	chancer	_	_	
41-16	,	_	_	
41-17	og	_	_	
41-18	Morten	_	_	
41-19	Nordstrand	_	_	
41-20	,	_	_	
41-21	der	_	_	
41-22	endelig	_	_	
41-23	havde	_	_	
41-24	fået	_	_	
41-25	en	_	_	
41-26	startplads	_	_	
41-27	,	_	_	
41-28	fungerede	_	_	
41-29	godt	_	_	
41-30	sammen	_	_	
41-31	med	_	_	
41-32	Santin	_	_	
41-33	på	_	_	
41-34	FCK	_	_	
41-35	-	_	_	
41-36	toppen	_	_	
41-37	.	_	_	

#id=42
#text=Vejen til toppen var ikke helt nem, for han måtte tilbringe fire måneder i fængsel for at læse et religiøst digt med, angiveligt, samfundsomstyrtende potentiale.
42-1	Vejen	_	_	
42-2	til	_	_	
42-3	toppen	_	_	
42-4	var	_	_	
42-5	ikke	_	_	
42-6	helt	_	_	
42-7	nem	_	_	
42-8	,	_	_	
42-9	for	_	_	
42-10	han	_	_	
42-11	måtte	_	_	
42-12	tilbringe	_	_	
42-13	fire	_	_	
42-14	måneder	_	_	
42-15	i	_	_	
42-16	fængsel	_	_	
42-17	for	_	_	
42-18	at	_	_	
42-19	læse	_	_	
42-20	et	_	_	
42-21	religiøst	_	_	
42-22	digt	_	_	
42-23	med	_	_	
42-24	,	_	_	
42-25	angiveligt	_	_	
42-26	,	_	_	
42-27	samfundsomstyrtende	_	_	
42-28	potentiale	_	_	
42-29	.	_	_	

#id=43
#text="Jeg vil gerne blive ved med at føre Viborg til tops.
43-1	"	_	_	
43-2	Jeg	_	_	
43-3	vil	_	_	
43-4	gerne	_	_	
43-5	blive	_	_	
43-6	ved	_	_	
43-7	med	_	_	
43-8	at	_	_	
43-9	føre	_	_	
43-10	Viborg	_	_	
43-11	til	_	_	
43-12	tops	_	_	
43-13	.	_	_	

#id=44
#text= Hvis min udvikling fortsætter, drømmer jeg om at komme til en af Europas top ti-klubber.
44-1	Hvis	_	_	
44-2	min	_	_	
44-3	udvikling	_	_	
44-4	fortsætter	_	_	
44-5	,	_	_	
44-6	drømmer	_	_	
44-7	jeg	_	_	
44-8	om	_	_	
44-9	at	_	_	
44-10	komme	_	_	
44-11	til	_	_	
44-12	en	_	_	
44-13	af	_	_	
44-14	Europas	_	_	
44-15	top	_	_	
44-16	ti	_	_	
44-17	-	_	_	
44-18	klubber	_	_	
44-19	.	_	_	

#id=45
#text=Med et herligt udvalg af smukke scoringer henrykkede Liverpool sit hjemmepublikum og sørgede for at bevare presset på Manchester United i toppen af Premier League, da Blackburn blev sendt hjem med et 4-0-nederlag.
45-1	Med	_	_	
45-2	et	_	_	
45-3	herligt	_	_	
45-4	udvalg	_	_	
45-5	af	_	_	
45-6	smukke	_	_	
45-7	scoringer	_	_	
45-8	henrykkede	_	_	
45-9	Liverpool	_	_	
45-10	sit	_	_	
45-11	hjemmepublikum	_	_	
45-12	og	_	_	
45-13	sørgede	_	_	
45-14	for	_	_	
45-15	at	_	_	
45-16	bevare	_	_	
45-17	presset	_	_	
45-18	på	_	_	
45-19	Manchester	_	_	
45-20	United	_	_	
45-21	i	_	_	
45-22	toppen	_	_	
45-23	af	_	_	
45-24	Premier	_	_	
45-25	League	_	_	
45-26	,	_	_	
45-27	da	_	_	
45-28	Blackburn	_	_	
45-29	blev	_	_	
45-30	sendt	_	_	
45-31	hjem	_	_	
45-32	med	_	_	
45-33	et	_	_	
45-34	4	_	_	
45-35	-	_	_	
45-36	0	_	_	
45-37	-	_	_	
45-38	nederlag	_	_	
45-39	.	_	_	

#id=46
#text= Er man først kravlet til tops her, plejer rystelserne at forplante sig til andre hitlister rundt om i verden.
46-1	Er	_	_	
46-2	man	_	_	
46-3	først	_	_	
46-4	kravlet	_	_	
46-5	til	_	_	
46-6	tops	_	_	
46-7	her	_	_	
46-8	,	_	_	
46-9	plejer	_	_	
46-10	rystelserne	_	_	
46-11	at	_	_	
46-12	forplante	_	_	
46-13	sig	_	_	
46-14	til	_	_	
46-15	andre	_	_	
46-16	hitlister	_	_	
46-17	rundt	_	_	
46-18	om	_	_	
46-19	i	_	_	
46-20	verden	_	_	
46-21	.	_	_	

#id=47
#text= Dead And Gone 1 Mens den lyse soulprinsesse Duffy lige tager en dyb indånding oven på sit 2008-triumftog, og den selvdestruktive Amy Winehouse har forvildet sig ind i søde jamaicanske røgtåger, er en uregerlig amerikansk pige flyttet ind på toppen af den engelske hitliste.
47-1	Dead	_	_	
47-2	And	_	_	
47-3	Gone	_	_	
47-4	1	_	_	
47-5	Mens	_	_	
47-6	den	_	_	
47-7	lyse	_	_	
47-8	soulprinsesse	_	_	
47-9	Duffy	_	_	
47-10	lige	_	_	
47-11	tager	_	_	
47-12	en	_	_	
47-13	dyb	_	_	
47-14	indånding	_	_	
47-15	oven	_	_	
47-16	på	_	_	
47-17	sit	_	_	
47-18	2008	_	_	
47-19	-	_	_	
47-20	triumftog	_	_	
47-21	,	_	_	
47-22	og	_	_	
47-23	den	_	_	
47-24	selvdestruktive	_	_	
47-25	Amy	_	_	
47-26	Winehouse	_	_	
47-27	har	_	_	
47-28	forvildet	_	_	
47-29	sig	_	_	
47-30	ind	_	_	
47-31	i	_	_	
47-32	søde	_	_	
47-33	jamaicanske	_	_	
47-34	røgtåger	_	_	
47-35	,	_	_	
47-36	er	_	_	
47-37	en	_	_	
47-38	uregerlig	_	_	
47-39	amerikansk	_	_	
47-40	pige	_	_	
47-41	flyttet	_	_	
47-42	ind	_	_	
47-43	på	_	_	
47-44	toppen	_	NC:sduc:--:----	
47-45	af	af	T-:----:--:----	
47-46	den	den	PM:s-uc:--:----	
47-47	engelske	engelsk	AC:sdu#:--:p---	
47-48	hitliste	hitliste	NC:siuc:--:----	
47-49	.	_	_	

#id=48
#text=For ud over at toppen af den engelske hitliste lige nu ikke har besøg af det ellers så britiske fire-drenge-der-vil-erobre-verden-sammen-band, er der også en anden påfaldende tendens:
48-1	For	_	_	
48-2	ud	_	_	
48-3	over	_	_	
48-4	at	_	_	
48-5	toppen	_	_	
48-6	af	_	_	
48-7	den	_	_	
48-8	engelske	_	_	
48-9	hitliste	_	_	
48-10	lige	_	_	
48-11	nu	_	_	
48-12	ikke	_	_	
48-13	har	_	_	
48-14	besøg	_	_	
48-15	af	_	_	
48-16	det	_	_	
48-17	ellers	_	_	
48-18	så	_	_	
48-19	britiske	_	_	
48-20	fire	_	_	
48-21	-	_	_	
48-22	drenge	_	_	
48-23	-	_	_	
48-24	der	_	_	
48-25	-	_	_	
48-26	vil	_	_	
48-27	-	_	_	
48-28	erobre	_	_	
48-29	-	_	_	
48-30	verden	_	_	
48-31	-	_	_	
48-32	sammen	_	_	
48-33	-	_	_	
48-34	band	_	_	
48-35	,	_	_	
48-36	er	_	_	
48-37	der	_	_	
48-38	også	_	_	
48-39	en	_	_	
48-40	anden	_	_	
48-41	påfaldende	_	_	
48-42	tendens	_	_	
48-43	:	_	_	

#id=49
#text= Til et af arrangementerne løb nederdel, top, cardigan (som hun ofte tager af og viser sine bare arme) og sko ikke op i mere end 500 dollar.
49-1	Til	_	_	
49-2	et	_	_	
49-3	af	_	_	
49-4	arrangementerne	_	_	
49-5	løb	_	_	
49-6	nederdel	_	_	
49-7	,	_	_	
49-8	top	_	_	
49-9	,	_	_	
49-10	cardigan	_	_	
49-11	(	_	_	
49-12	som	_	_	
49-13	hun	_	_	
49-14	ofte	_	_	
49-15	tager	_	_	
49-16	af	_	_	
49-17	og	_	_	
49-18	viser	_	_	
49-19	sine	_	_	
49-20	bare	_	_	
49-21	arme	_	_	
49-22	)	_	_	
49-23	og	_	_	
49-24	sko	_	_	
49-25	ikke	_	_	
49-26	op	_	_	
49-27	i	_	_	
49-28	mere	_	_	
49-29	end	_	_	
49-30	500	_	_	
49-31	dollar	_	_	
49-32	.	_	_	

#id=50
#text=Den bedste måde at komme dertil er med en kombi, et hvidt folkevognsrugbrød, som kører helt op til toppen for nogle få kroner.
50-1	Den	_	_	
50-2	bedste	_	_	
50-3	måde	_	_	
50-4	at	_	_	
50-5	komme	_	_	
50-6	dertil	_	_	
50-7	er	_	_	
50-8	med	_	_	
50-9	en	_	_	
50-10	kombi	_	_	
50-11	,	_	_	
50-12	et	_	_	
50-13	hvidt	_	_	
50-14	folkevognsrugbrød	_	_	
50-15	,	_	_	
50-16	som	_	_	
50-17	kører	_	_	
50-18	helt	_	_	
50-19	op	_	_	
50-20	til	_	_	
50-21	toppen	_	_	
50-22	for	_	_	
50-23	nogle	_	_	
50-24	få	_	_	
50-25	kroner	_	_	
50-26	.	_	_	

#id=51
#text=Christine er museets direktør, hun kan fra museets top vise dig byens tage.
51-1	Christine	_	_	
51-2	er	_	_	
51-3	museets	_	_	
51-4	direktør	_	_	
51-5	,	_	_	
51-6	hun	_	_	
51-7	kan	_	_	
51-8	fra	_	_	
51-9	museets	_	_	
51-10	top	_	_	
51-11	vise	_	_	
51-12	dig	_	_	
51-13	byens	_	_	
51-14	tage	_	_	
51-15	.	_	_	

#id=52
#text=Med Cathay Pacific fra Hongkong på førstepladsen ligger tre asiatiske selskaber i toppen af den årlige World Airline Awards liste.
52-1	Med	_	_	
52-2	Cathay	_	_	
52-3	Pacific	_	_	
52-4	fra	_	_	
52-5	Hongkong	_	_	
52-6	på	_	_	
52-7	førstepladsen	_	_	
52-8	ligger	_	_	
52-9	tre	_	_	
52-10	asiatiske	_	_	
52-11	selskaber	_	_	
52-12	i	_	_	
52-13	toppen	_	_	
52-14	af	_	_	
52-15	den	_	_	
52-16	årlige	_	_	
52-17	World	_	_	
52-18	Airline	_	_	
52-19	Awards	_	_	
52-20	liste	_	_	
52-21	.	_	_	

#id=53
#text=Årets prisuddeling fandt sted i Hamburg, og når det gælder listen over bedste flyselskaber, var Asien helt i top.
53-1	Årets	_	_	
53-2	prisuddeling	_	_	
53-3	fandt	_	_	
53-4	sted	_	_	
53-5	i	_	_	
53-6	Hamburg	_	_	
53-7	,	_	_	
53-8	og	_	_	
53-9	når	_	_	
53-10	det	_	_	
53-11	gælder	_	_	
53-12	listen	_	_	
53-13	over	_	_	
53-14	bedste	_	_	
53-15	flyselskaber	_	_	
53-16	,	_	_	
53-17	var	_	_	
53-18	Asien	_	_	
53-19	helt	_	_	
53-20	i	_	_	
53-21	top	_	_	
53-22	.	_	_	

#id=54
#text= Om den sørgende enkemand Tom Hanks og den sødt elskværdige Meg Ryan, der i kærlighedens navn aftaler at mødes på toppen af Empire State Building.
54-1	Om	_	_	
54-2	den	_	_	
54-3	sørgende	_	_	
54-4	enkemand	_	_	
54-5	Tom	_	_	
54-6	Hanks	_	_	
54-7	og	_	_	
54-8	den	_	_	
54-9	sødt	_	_	
54-10	elskværdige	_	_	
54-11	Meg	_	_	
54-12	Ryan	_	_	
54-13	,	_	_	
54-14	der	_	_	
54-15	i	_	_	
54-16	kærlighedens	_	_	
54-17	navn	_	_	
54-18	aftaler	_	_	
54-19	at	_	_	
54-20	mødes	_	_	
54-21	på	_	_	
54-22	toppen	_	_	
54-23	af	_	_	
54-24	Empire	_	_	
54-25	State	_	_	
54-26	Building	_	_	
54-27	.	_	_	

#id=55
#text= på toppen.
55-1	på	_	_	
55-2	toppen	_	_	
55-3	.	_	_	

#id=56
#text= ' Alle kan nå til tops'.
56-1	'	_	_	
56-2	Alle	_	_	
56-3	kan	_	_	
56-4	nå	_	_	
56-5	til	_	_	
56-6	tops	_	_	
56-7	'	_	_	
56-8	.	_	_	

#id=57
#text=Selv om Anne Brown høstede  stor succes ved uropførelsen af ' Porgy og Bess' og siden vandt Margaret McGill-prisen på Juilliard, var hendes hudfarve fortsat den største hindring for at nå toppen af amerikansk operaliv.
57-1	Selv	_	_	
57-2	om	_	_	
57-3	Anne	_	_	
57-4	Brown	_	_	
57-5	høstede	_	_	
57-6	stor	_	_	
57-7	succes	_	_	
57-8	ved	_	_	
57-9	uropførelsen	_	_	
57-10	af	_	_	
57-11	'	_	_	
57-12	Porgy	_	_	
57-13	og	_	_	
57-14	Bess	_	_	
57-15	'	_	_	
57-16	og	_	_	
57-17	siden	_	_	
57-18	vandt	_	_	
57-19	Margaret	_	_	
57-20	McGill	_	_	
57-21	-	_	_	
57-22	prisen	_	_	
57-23	på	_	_	
57-24	Juilliard	_	_	
57-25	,	_	_	
57-26	var	_	_	
57-27	hendes	_	_	
57-28	hudfarve	_	_	
57-29	fortsat	_	_	
57-30	den	_	_	
57-31	største	_	_	
57-32	hindring	_	_	
57-33	for	_	_	
57-34	at	_	_	
57-35	nå	_	_	
57-36	toppen	_	_	
57-37	af	_	_	
57-38	amerikansk	_	_	
57-39	operaliv	_	_	
57-40	.	_	_	

#id=58
#text=Som førstereserver er de lige akkurat uden for den top-kvartet, der i går på rocentret ved Bagsværd Sø blev præsenteret som Danmarks nye Guldfirer.
58-1	Som	_	_	
58-2	førstereserver	_	_	
58-3	er	_	_	
58-4	de	_	_	
58-5	lige	_	_	
58-6	akkurat	_	_	
58-7	uden	_	_	
58-8	for	_	_	
58-9	den	_	_	
58-10	top	_	_	
58-11	-	_	_	
58-12	kvartet	_	_	
58-13	,	_	_	
58-14	der	_	_	
58-15	i	_	_	
58-16	går	_	_	
58-17	på	_	_	
58-18	rocentret	_	_	
58-19	ved	_	_	
58-20	Bagsværd	_	_	
58-21	Sø	_	_	
58-22	blev	_	_	
58-23	præsenteret	_	_	
58-24	som	_	_	
58-25	Danmarks	_	_	
58-26	nye	_	_	
58-27	Guldfirer	_	_	
58-28	.	_	_	

#id=59
#text="Bunden er stivfrossen, og toppen er blød.
59-1	"	_	_	
59-2	Bunden	_	_	
59-3	er	_	_	
59-4	stivfrossen	_	_	
59-5	,	_	_	
59-6	og	_	_	
59-7	toppen	_	_	
59-8	er	_	_	
59-9	blød	_	_	
59-10	.	_	_	

#id=60
#text="Vi regner med, at det giver 4.000 fuldtidsbeskæftigede i byggebranchen i andet halvår af 2009, så det er nok til at tage toppen af ledigheden, selv om vi tror, at 1,5 milliarder kroner hurtigt får ben at gå på", siger administrerende direktør i Dansk Byggeri Lars Storr-Hansen.
60-1	"	_	_	
60-2	Vi	_	_	
60-3	regner	_	_	
60-4	med	_	_	
60-5	,	_	_	
60-6	at	_	_	
60-7	det	_	_	
60-8	giver	_	_	
60-9	4	_	_	
60-10	.	_	_	
60-11	000	_	_	
60-12	fuldtidsbeskæftigede	_	_	
60-13	i	_	_	
60-14	byggebranchen	_	_	
60-15	i	_	_	
60-16	andet	_	_	
60-17	halvår	_	_	
60-18	af	_	_	
60-19	2009	_	_	
60-20	,	_	_	
60-21	så	_	_	
60-22	det	_	_	
60-23	er	_	_	
60-24	nok	_	_	
60-25	til	_	_	
60-26	at	_	_	
60-27	tage	_	_	
60-28	toppen	_	_	
60-29	af	_	_	
60-30	ledigheden	_	_	
60-31	,	_	_	
60-32	selv	_	_	
60-33	om	_	_	
60-34	vi	_	_	
60-35	tror	_	_	
60-36	,	_	_	
60-37	at	_	_	
60-38	1	_	_	
60-39	,	_	_	
60-40	5	_	_	
60-41	milliarder	_	_	
60-42	kroner	_	_	
60-43	hurtigt	_	_	
60-44	får	_	_	
60-45	ben	_	_	
60-46	at	_	_	
60-47	gå	_	_	
60-48	på	_	_	
60-49	"	_	_	
60-50	,	_	_	
60-51	siger	_	_	
60-52	administrerende	_	_	
60-53	direktør	_	_	
60-54	i	_	_	
60-55	Dansk	_	_	
60-56	Byggeri	_	_	
60-57	Lars	_	_	
60-58	Storr	_	_	
60-59	-	_	_	
60-60	Hansen	_	_	
60-61	.	_	_	

#id=61
#text=De seneste ugers korruptionssager i håndboldverdenen er kun toppen af isbjerget, mener Erik Veje Rasmussen, der anses for Danmarks bedste spiller gennem tiden.
61-1	De	_	_	
61-2	seneste	_	_	
61-3	ugers	_	_	
61-4	korruptionssager	_	_	
61-5	i	_	_	
61-6	håndboldverdenen	_	_	
61-7	er	_	_	
61-8	kun	_	_	
61-9	toppen	_	_	
61-10	af	_	_	
61-11	isbjerget	_	_	
61-12	,	_	_	
61-13	mener	_	_	
61-14	Erik	_	_	
61-15	Veje	_	_	
61-16	Rasmussen	_	_	
61-17	,	_	_	
61-18	der	_	_	
61-19	anses	_	_	
61-20	for	_	_	
61-21	Danmarks	_	_	
61-22	bedste	_	_	
61-23	spiller	_	_	
61-24	gennem	_	_	
61-25	tiden	_	_	
61-26	.	_	_	

#id=62
#text="Jeg er ikke et øjeblik i tvivl om, at det kun er toppen af isbjerget, vi ser lige nu", siger Erik Veje Rasmussen, der er noteret for 233 landskampe - og som regnes for den bedste danske håndboldspiller gennem tiden.
62-1	"	_	_	
62-2	Jeg	_	_	
62-3	er	_	_	
62-4	ikke	_	_	
62-5	et	_	_	
62-6	øjeblik	_	_	
62-7	i	_	_	
62-8	tvivl	_	_	
62-9	om	_	_	
62-10	,	_	_	
62-11	at	_	_	
62-12	det	_	_	
62-13	kun	_	_	
62-14	er	_	_	
62-15	toppen	_	_	
62-16	af	_	_	
62-17	isbjerget	_	_	
62-18	,	_	_	
62-19	vi	_	_	
62-20	ser	_	_	
62-21	lige	_	_	
62-22	nu	_	_	
62-23	"	_	_	
62-24	,	_	_	
62-25	siger	_	_	
62-26	Erik	_	_	
62-27	Veje	_	_	
62-28	Rasmussen	_	_	
62-29	,	_	_	
62-30	der	_	_	
62-31	er	_	_	
62-32	noteret	_	_	
62-33	for	_	_	
62-34	233	_	_	
62-35	landskampe	_	_	
62-36	-	_	_	
62-37	og	_	_	
62-38	som	_	_	
62-39	regnes	_	_	
62-40	for	_	_	
62-41	den	_	_	
62-42	bedste	_	_	
62-43	danske	_	_	
62-44	håndboldspiller	_	_	
62-45	gennem	_	_	
62-46	tiden	_	_	
62-47	.	_	_	

#id=63
#text="Men det er imidlertid også en top, der har været synlig i mange år, men som ingen har været interesseret i at gøre noget ved.
63-1	"	_	_	
63-2	Men	_	_	
63-3	det	_	_	
63-4	er	_	_	
63-5	imidlertid	_	_	
63-6	også	_	_	
63-7	en	_	_	
63-8	top	_	_	
63-9	,	_	_	
63-10	der	_	_	
63-11	har	_	_	
63-12	været	_	_	
63-13	synlig	_	_	
63-14	i	_	_	
63-15	mange	_	_	
63-16	år	_	_	
63-17	,	_	_	
63-18	men	_	_	
63-19	som	_	_	
63-20	ingen	_	_	
63-21	har	have	VF:----:sa:----	
63-22	været	_	_	
63-23	interesseret	_	_	
63-24	i	_	_	
63-25	at	_	_	
63-26	gøre	_	_	
63-27	noget	_	_	
63-28	ved	_	_	
63-29	.	_	_	

#id=64
#text= Petersen, der ikke har lyst til at udtale sig, fandt ikke sagen alvorlig nok til at orientere toppen af dansk håndbold.
64-1	Petersen	_	_	
64-2	,	_	_	
64-3	der	_	_	
64-4	ikke	_	_	
64-5	har	_	_	
64-6	lyst	_	_	
64-7	til	_	_	
64-8	at	_	_	
64-9	udtale	_	_	
64-10	sig	_	_	
64-11	,	_	_	
64-12	fandt	_	_	
64-13	ikke	_	_	
64-14	sagen	_	_	
64-15	alvorlig	_	_	
64-16	nok	_	_	
64-17	til	_	_	
64-18	at	_	_	
64-19	orientere	_	_	
64-20	toppen	_	_	
64-21	af	_	_	
64-22	dansk	_	_	
64-23	håndbold	_	_	
64-24	.	_	_	

#id=65
#text= Det var dog ikke en top til NS, da man ved et enkelt bord redoblede 2 Kl, der uden problemer vandt med et overstik.
65-1	Det	_	_	
65-2	var	_	_	
65-3	dog	_	_	
65-4	ikke	_	_	
65-5	en	_	_	
65-6	top	_	_	
65-7	til	_	_	
65-8	NS	_	_	
65-9	,	_	_	
65-10	da	_	_	
65-11	man	_	_	
65-12	ved	_	_	
65-13	et	_	_	
65-14	enkelt	_	_	
65-15	bord	_	_	
65-16	redoblede	_	_	
65-17	2	_	_	
65-18	Kl	_	_	
65-19	,	_	_	
65-20	der	_	_	
65-21	uden	_	_	
65-22	problemer	_	_	
65-23	vandt	_	_	
65-24	med	_	_	
65-25	et	_	_	
65-26	overstik	_	_	
65-27	.	_	_	

#id=66
#text= Sitkagran har oven  i købet den for graner usædvanlige egenskab, at den kan skyde nye skud direkte fra stammen, hvis toppen knækker af i forbindelse med en storm.
66-1	Sitkagran	_	_	
66-2	har	_	_	
66-3	oven	_	_	
66-4	i	_	_	
66-5	købet	_	_	
66-6	den	_	_	
66-7	for	_	_	
66-8	graner	_	_	
66-9	usædvanlige	_	_	
66-10	egenskab	_	_	
66-11	,	_	_	
66-12	at	_	_	
66-13	den	_	_	
66-14	kan	_	_	
66-15	skyde	_	_	
66-16	nye	_	_	
66-17	skud	_	_	
66-18	direkte	_	_	
66-19	fra	_	_	
66-20	stammen	_	_	
66-21	,	_	_	
66-22	hvis	_	_	
66-23	toppen	_	_	
66-24	knækker	_	_	
66-25	af	_	_	
66-26	i	_	_	
66-27	forbindelse	_	_	
66-28	med	_	_	
66-29	en	_	_	
66-30	storm	_	_	
66-31	.	_	_	

#id=67
#text=Den fantasifulde og farverige møbelserie til børnenes værelser har ifølge Lena Gaarde også fortjent en  placering på Ikeas top 3 over de største klassikere.
67-1	Den	_	_	
67-2	fantasifulde	_	_	
67-3	og	_	_	
67-4	farverige	_	_	
67-5	møbelserie	_	_	
67-6	til	_	_	
67-7	børnenes	_	_	
67-8	værelser	_	_	
67-9	har	_	_	
67-10	ifølge	_	_	
67-11	Lena	_	_	
67-12	Gaarde	_	_	
67-13	også	_	_	
67-14	fortjent	_	_	
67-15	en	_	_	
67-16	placering	_	_	
67-17	på	_	_	
67-18	Ikeas	_	_	
67-19	top	_	_	
67-20	3	_	_	
67-21	over	_	_	
67-22	de	_	_	
67-23	største	_	_	
67-24	klassikere	_	_	
67-25	.	_	_	

#id=68
#text="For tiden ligger Poul Kjærholm helt i top.
68-1	"	_	_	
68-2	For	_	_	
68-3	tiden	_	_	
68-4	ligger	_	_	
68-5	Poul	_	_	
68-6	Kjærholm	_	_	
68-7	helt	_	_	
68-8	i	_	_	
