 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Menhan slap uden større skader.
1-1	Men	men	CC:----:--:----	O	
37-6	smertestillende	_	_	O	
37-7	medicin	_	_	O	
37-8	resten	_	_	O	
37-9	af	_	_	O	
37-10	livet	_	_	O	
37-11	,	_	_	O	
37-12	konstaterer	_	_	O	
37-13	Flemming	_	_	O	
37-14	,	_	_	O	
37-15	som	_	_	O	
37-16	også	_	_	O	
37-17	har	_	_	O	
37-18	svært	_	_	O	
37-19	ved	_	_	O	
37-20	at	_	_	O	
37-21	koncentrere	_	_	O	
37-22	sig	_	_	O	
37-23	,	_	_	O	
37-24	ligesom	_	_	O	
37-25	hans	_	_	O	
37-26	korttidshukommelse	_	_	O	
37-27	har	_	_	O	
37-28	taget	_	_	O	
37-29	skade	_	_	O	
37-30	af	_	_	O	
37-31	ulykken	_	_	O	
37-32	.	_	_	O	

#id=38
#text=På et tidspunkt kom jeg slemt til skade med mit skinneben, og så var det nærmest slut med fodbold, fortæller Kat, 24.
38-1	På	_	_	O	
38-2	et	_	_	O	
38-3	tidspunkt	_	_	O	
38-4	kom	_	_	O	
38-5	jeg	_	_	O	
38-6	slemt	_	_	O	
38-7	til	_	_	O	
38-8	skade	_	_	O	
38-9	med	_	_	O	
38-10	mit	_	_	O	
38-11	skinneben	_	_	O	
38-12	,	_	_	O	
38-13	og	_	_	O	
38-14	så	_	_	O	
38-15	var	_	_	O	
38-16	det	_	_	O	
38-17	nærmest	_	_	O	
38-18	slut	_	_	O	
38-19	med	_	_	O	
38-20	fodbold	_	_	O	
38-21	,	_	_	O	
38-22	fortæller	_	_	O	
38-23	Kat	_	_	O	
38-24	,	_	_	O	
38-25	24	_	_	O	
38-26	.	_	_	O	

#id=39
#text=Men desværre fik hun en skade i sine ankler, hvorefter hun for alvor begyndte at satse på rappen. - Jeg skal lave underholdning, så jeg fortsætter uanset hvad, siger hun.
39-1	Men	_	_	O	
39-2	desværre	_	_	O	
39-3	fik	_	_	O	
39-4	hun	_	_	O	
39-5	en	_	_	O	
39-6	skade	_	_	O	
39-7	i	_	_	O	
39-8	sine	_	_	O	
39-9	ankler	_	_	O	
39-10	,	_	_	O	
39-11	hvorefter	_	_	O	
39-12	hun	_	_	O	
39-13	for	_	_	O	
39-14	alvor	_	NC:siuc:--:----	O	
39-15	begyndte	_	_	O	
39-16	at	_	_	O	
39-17	satse	_	_	O	
39-18	på	_	_	O	
39-19	rappen	_	_	O	
39-20	.	_	_	O	
39-21	-	_	_	O	
39-22	Jeg	_	_	O	
39-23	skal	_	_	O	
39-24	lave	_	_	O	
39-25	underholdning	_	_	O	
39-26	,	_	_	O	
39-27	så	_	_	O	
39-28	jeg	_	_	O	
39-29	fortsætter	_	_	O	
39-30	uanset	_	_	O	
39-31	hvad	_	_	O	
39-32	,	_	_	O	
39-33	siger	_	_	O	
39-34	hun	_	_	O	
39-35	.	_	_	O	

#id=40
#text=Selvom oplevelserne på felthospitalet har været barske, har Claus aldrig tvivlet på, at han var den rigtige mand til jobbet. - Det lægefaglige skal selvfølgelig være i orden, hvis man vil derned, men det er jo ofte meget grove teknikker, man arbejder med, fordi skaderne er så voldsomme.
40-1	Selv	_	_	O	
40-2	om	_	_	O	
40-3	oplevelserne	_	_	O	
40-4	på	_	_	O	
40-5	felthospitalet	_	_	O	
40-6	har	_	_	O	
40-7	været	_	_	O	
40-8	barske	_	_	O	
40-9	,	_	_	O	
40-10	har	_	_	O	
40-11	Claus	_	_	O	
40-12	aldrig	_	_	O	
40-13	tvivlet	_	_	O	
40-14	på	_	_	O	
40-15	,	_	_	O	
40-16	at	_	_	O	
40-17	han	_	_	O	
40-18	var	_	_	O	
40-19	den	_	_	O	
40-20	rigtige	_	_	O	
40-21	mand	_	_	O	
40-22	til	_	_	O	
40-23	jobbet	_	_	O	
40-24	.	_	_	O	
40-25	-	_	_	O	
40-26	Det	_	_	O	
40-27	lægefaglige	_	_	O	
40-28	skal	_	_	O	
40-29	selvfølgelig	_	_	O	
40-30	være	_	_	O	
40-31	i	_	_	O	
40-32	orden	_	_	O	
40-33	,	_	_	O	
40-34	hvis	_	_	O	
40-35	man	_	_	O	
40-36	vil	_	_	O	
40-37	derned	_	_	O	
40-38	,	_	_	O	
40-39	men	_	_	O	
40-40	det	_	_	O	
40-41	er	_	_	O	
40-42	jo	_	_	O	
40-43	ofte	_	_	O	
40-44	meget	_	_	O	
40-45	grove	_	_	O	
40-46	teknikker	_	_	O	
40-47	,	_	_	O	
40-48	man	_	_	O	
40-49	arbejder	_	_	O	
40-50	med	_	_	O	
40-51	,	_	_	O	
40-52	fordi	_	_	O	
40-53	skaderne	_	_	O	
40-54	er	_	_	O	
40-55	så	_	_	O	
40-56	voldsomme	_	_	O	
40-57	.	_	_	O	

#id=41
#text=Kongehusetskommunikationschef, Lene Balleby, fortæller dog til Ekstra Bladet, at skaderne hos den vordende far til fire på ingen måde er alvorlige.
41-1	Kongehusets	_	_	O	
41-2	kommunikationschef	_	_	O	
41-3	,	_	_	O	
41-4	Lene	_	_	O	
41-5	Balleby	_	_	O	
41-6	,	_	_	O	
41-7	fortæller	_	_	O	
41-8	dog	_	_	O	
41-9	til	_	_	O	
41-10	Ekstra	_	_	O	
41-11	Bladet	_	_	O	
41-12	,	_	_	O	
41-13	at	_	_	O	
41-14	skaderne	_	_	O	
41-15	hos	_	_	O	
41-16	den	_	_	O	
41-17	vordende	_	_	O	
41-18	far	_	_	O	
41-19	til	_	_	O	
41-20	fire	_	_	O	
41-21	på	_	_	O	
41-22	ingen	_	_	O	
41-23	måde	_	_	O	
41-24	er	_	_	O	
41-25	alvorlige	_	_	O	
41-26	.	_	_	O	

#id=42
#text=Fortre år siden  brød en gammel skade i hendes ryg op, og Troels og Rebecca måtte med ét skrinlægge deres musikalske parløb.
42-1	For	_	_	O	
42-2	tre	_	_	O	
42-3	år	_	_	O	
42-4	siden	_	_	O	
42-5	brød	_	_	O	
42-6	en	_	_	O	
42-7	gammel	_	_	O	
42-8	skade	_	_	O	
42-9	i	_	_	O	
42-10	hendes	_	_	O	
42-11	ryg	_	_	O	
42-12	op	_	_	O	
42-13	,	_	_	O	
42-14	og	_	_	O	
42-15	Troels	_	_	O	
42-16	og	_	_	O	
42-17	Rebecca	_	_	O	
42-18	måtte	_	_	O	
42-19	med	_	_	O	
42-20	ét	_	_	O	
42-21	skrinlægge	_	_	O	
42-22	deres	_	_	O	
42-23	musikalske	_	_	O	
42-24	parløb	_	_	O	
42-25	.	_	_	O	

