 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=De fleste uafhængige økonomer og de økonomiske vismænd, har påpeget, at en af de måder, som vil være ansvarlig en tid, hvor ledigheden stiger så meget, vil være at komme med en indsats, som tager toppen af ledigheden.
1-1	De	den	PM:p-u#:--:----	
28-5	noget	_	_	
28-6	ved	_	_	
28-7	alt	_	_	
28-8	frynset	_	_	
28-9	,	_	_	
28-10	alle	_	_	
28-11	fradragene	_	_	
28-12	og	_	_	
28-13	gevinsterne	_	_	
28-14	,	_	_	
28-15	der	_	_	
28-16	lå	_	_	
28-17	helt	_	_	
28-18	i	_	_	
28-19	toppen	_	_	
28-20	,	_	_	
28-21	så	_	_	
28-22	kunne	_	_	
28-23	man	_	_	
28-24	snakke	_	_	
28-25	om	_	_	
28-26	en	_	_	
28-27	lavere	_	_	
28-28	skatteprocent	_	_	
28-29	og	_	_	
28-30	alligevel	_	_	
28-31	et	_	_	
28-32	ordentligt	_	_	
28-33	bidrag	_	_	
28-34	til	_	_	
28-35	samfundet	_	_	
28-36	.	_	_	

#id=29
#text=Men, jeg vil sige til statsministeren, at der var en fejl i fremstillingen tidligere, nemlig at det blev brugt som et argument, at vi havde den her ekspertskat, for at vi skulle sænke skatten i toppen.
29-1	Men	_	_	
29-2	,	_	_	
29-3	jeg	_	_	
29-4	vil	_	_	
29-5	sige	_	_	
29-6	til	_	_	
29-7	statsministeren	_	_	
29-8	,	_	_	
29-9	at	_	_	
29-10	der	_	_	
29-11	var	_	_	
29-12	en	_	_	
29-13	fejl	_	_	
29-14	i	_	_	
29-15	fremstillingen	_	_	
29-16	tidligere	_	_	
29-17	,	_	_	
29-18	nemlig	_	_	
29-19	at	_	_	
29-20	det	_	_	
29-21	blev	_	_	
29-22	brugt	_	_	
29-23	som	_	_	
29-24	et	_	_	
29-25	argument	_	_	
29-26	,	_	_	
29-27	at	_	_	
29-28	vi	_	_	
29-29	havde	_	_	
29-30	den	_	_	
29-31	her	_	_	
29-32	ekspertskat	_	_	
29-33	,	_	_	
29-34	for	_	_	
29-35	at	_	_	
29-36	vi	_	_	
29-37	skulle	_	_	
29-38	sænke	_	_	
29-39	skatten	_	_	
29-40	i	_	_	
29-41	toppen	_	_	
29-42	.	_	_	

#id=30
#text=Man kan forsøge at lave mange spinhistorier fra Venstres side, men man kan ikke benægte, at virkningen af det  her solidt er, at dem i toppen af samfundet er dem, vi tager fra, til gengæld for at flytte pengene over til dem, der ikke har så mange: almindelige hårdtarbejdende lønmodtagere, folk, der er gået på pension, folk på overførselsindkomster.
30-1	Man	_	_	
30-2	kan	_	_	
30-3	forsøge	_	_	
30-4	at	_	_	
30-5	lave	_	_	
30-6	mange	_	_	
30-7	spinhistorier	_	_	
30-8	fra	_	_	
30-9	Venstres	_	_	
30-10	side	_	_	
30-11	,	_	_	
30-12	men	_	_	
30-13	man	_	_	
30-14	kan	_	_	
30-15	ikke	_	_	
30-16	benægte	_	_	
30-17	,	_	_	
30-18	at	_	_	
30-19	virkningen	_	_	
30-20	af	_	_	
30-21	det	_	_	
30-22	her	_	_	
30-23	solidt	_	_	
30-24	er	_	_	
30-25	,	_	_	
30-26	at	_	_	
30-27	dem	_	_	
30-28	i	_	_	
30-29	toppen	_	_	
30-30	af	_	_	
30-31	samfundet	_	_	
30-32	er	_	_	
30-33	dem	_	_	
30-34	,	_	_	
30-35	vi	_	_	
30-36	tager	_	_	
30-37	fra	_	_	
30-38	,	_	_	
30-39	til	_	_	
30-40	gengæld	_	_	
30-41	for	_	_	
30-42	at	_	_	
30-43	flytte	_	_	
30-44	pengene	_	_	
30-45	over	_	_	
30-46	til	_	_	
30-47	dem	_	_	
30-48	,	_	_	
30-49	der	_	_	
30-50	ikke	_	_	
30-51	har	_	_	
30-52	så	_	_	
30-53	mange	_	_	
30-54	:	_	_	
30-55	almindelige	_	_	
30-56	hårdtarbejdende	_	_	
30-57	lønmodtagere	_	_	
30-58	,	,	ZD	
30-59	folk	folk	NC:piu#:--:----	
30-60	,	_	_	
30-61	der	_	_	
30-62	er	_	_	
30-63	gået	_	_	
30-64	på	_	_	
30-65	pension	_	_	
30-66	,	_	_	
30-67	folk	_	_	
30-68	på	_	_	
30-69	overførselsindkomster	_	_	
30-70	.	_	_	

#id=31
#text= Jo, bl.a. fordi de partier, der råber op om økonomisk ansvarlighed, hver eneste gang de kan komme til det, har delt skattelettelser ud for 223 mia. kr., ikke mindst til deres venner i toppen af Danmark, ligesom de har betalt overpris til privathospitalerne for skatteborgernes regning for at opbygge en privat sundhedssektor.
31-1	Jo	_	_	
31-2	,	_	_	
31-3	bl	_	_	
31-4	.	_	_	
31-5	a	_	_	
31-6	.	_	_	
31-7	fordi	_	_	
31-8	de	_	_	
31-9	partier	_	_	
31-10	,	_	_	
31-11	der	_	_	
31-12	råber	_	_	
31-13	op	_	_	
31-14	om	_	_	
31-15	økonomisk	_	_	
31-16	ansvarlighed	_	_	
31-17	,	_	_	
31-18	hver	_	_	
31-19	eneste	_	_	
31-20	gang	_	_	
31-21	de	_	_	
31-22	kan	_	_	
31-23	komme	_	_	
31-24	til	_	_	
31-25	det	_	_	
31-26	,	_	_	
31-27	har	_	_	
31-28	delt	_	_	
31-29	skattelettelser	_	_	
31-30	ud	_	_	
31-31	for	_	_	
31-32	223	_	_	
31-33	mia	_	_	
31-34	.	_	_	
31-35	kr	_	_	
31-36	.	_	_	
31-37	,	_	_	
31-38	ikke	_	_	
31-39	mindst	_	_	
31-40	til	_	_	
31-41	deres	_	_	
31-42	venner	_	_	
31-43	i	_	_	
31-44	toppen	_	_	
31-45	af	_	_	
31-46	Danmark	_	_	
31-47	,	_	_	
31-48	ligesom	_	_	
31-49	de	_	_	
31-50	har	_	_	
31-51	betalt	_	_	
31-52	overpris	_	_	
31-53	til	_	_	
31-54	privathospitalerne	_	_	
31-55	for	_	_	
31-56	skatteborgernes	_	_	
31-57	regning	_	_	
31-58	for	_	_	
31-59	at	_	_	
31-60	opbygge	_	_	
31-61	en	_	_	
31-62	privat	_	_	
31-63	sundhedssektor	_	_	
31-64	.	_	_	

#id=32
#text= Vi står på toppen af, hvad vi kan mestre.
32-1	Vi	_	_	
32-2	står	_	_	
32-3	på	_	_	
32-4	toppen	_	_	
32-5	af	_	_	
32-6	,	_	_	
32-7	hvad	_	_	
32-8	vi	_	_	
32-9	kan	_	_	
32-10	mestre	_	_	
32-11	.	_	_	

#id=33
#text= Og modsat finansministerens beregninger af, hvordan arbejdsløsheden vil stige, ligger Socialdemokraternes beregninger lidt højere end vismændenes, når det handler om at sætte gang i fremrykning af offentlige investeringer, fordi vi ved, at det er det, der skaber arbejdspladser; det er det, der  kan tage toppen af den stigning i arbejdsløsheden, som vil være til stor skade for mange langtidsledige og for holdbarheden i dansk økonomi.
33-1	Og	_	_	
33-2	modsat	_	_	
33-3	finansministerens	_	_	
33-4	beregninger	_	_	
33-5	af	_	_	
33-6	,	_	_	
33-7	hvordan	_	_	
33-8	arbejdsløsheden	_	_	
33-9	vil	_	_	
33-10	stige	_	_	
33-11	,	_	_	
33-12	ligger	_	_	
33-13	Socialdemokraternes	_	_	
33-14	beregninger	_	_	
33-15	lidt	_	_	
33-16	højere	_	_	
33-17	end	_	_	
33-18	vismændenes	_	_	
33-19	,	_	_	
33-20	når	_	_	
33-21	det	_	_	
33-22	handler	_	_	
33-23	om	_	_	
33-24	at	_	_	
33-25	sætte	_	_	
33-26	gang	_	_	
33-27	i	_	_	
33-28	fremrykning	_	_	
33-29	af	_	_	
33-30	offentlige	_	_	
33-31	investeringer	_	_	
33-32	,	_	_	
33-33	fordi	_	_	
33-34	vi	_	_	
33-35	ved	_	_	
33-36	,	_	_	
33-37	at	_	_	
33-38	det	_	_	
33-39	er	_	_	
33-40	det	_	_	
33-41	,	_	_	
33-42	der	_	_	
33-43	skaber	_	_	
33-44	arbejdspladser	_	_	
33-45	;	_	_	
33-46	det	_	_	
33-47	er	_	_	
33-48	det	_	_	
33-49	,	_	_	
33-50	der	_	_	
33-51	kan	_	_	
33-52	tage	_	_	
33-53	toppen	_	_	
33-54	af	_	_	
33-55	den	_	_	
33-56	stigning	_	_	
33-57	i	_	_	
33-58	arbejdsløsheden	_	_	
33-59	,	_	_	
33-60	som	_	_	
33-61	vil	_	_	
33-62	være	_	_	
33-63	til	_	_	
33-64	stor	_	_	
33-65	skade	_	_	
33-66	for	_	_	
33-67	mange	_	_	
33-68	langtidsledige	_	_	
33-69	og	_	_	
33-70	for	_	_	
33-71	holdbarheden	_	_	
33-72	i	_	_	
33-73	dansk	_	_	
33-74	økonomi	_	_	
33-75	.	_	_	

#id=34
#text= Så sker der det, at vi tager toppen af stigningen i arbejdsløsheden, og vi undgår, at så mange som nu risikerer at havne i langtidsledighed.
34-1	Så	_	_	
34-2	sker	_	_	
34-3	der	_	_	
34-4	det	_	_	
34-5	,	_	_	
34-6	at	_	_	
34-7	vi	_	_	
34-8	tager	_	_	
34-9	toppen	_	_	
34-10	af	_	_	
34-11	stigningen	_	_	
34-12	i	_	_	
34-13	arbejdsløsheden	_	_	
34-14	,	_	_	
34-15	og	_	_	
34-16	vi	_	_	
34-17	undgår	_	_	
34-18	,	_	_	
34-19	at	_	_	
34-20	så	_	_	
34-21	mange	_	_	
34-22	som	_	_	
34-23	nu	_	_	
34-24	risikerer	_	_	
34-25	at	_	_	
34-26	havne	_	_	
34-27	i	_	_	
34-28	langtidsledighed	_	_	
34-29	.	_	_	

#id=35
#text= Vi tager toppen af nogle af de skattelettelser  og siger, at der altså er nogle folkepensionister og førtidspensionister, der har mere behov for dem.
35-1	Vi	_	_	
35-2	tager	_	_	
35-3	toppen	_	_	
35-4	af	_	_	
35-5	nogle	_	_	
35-6	af	_	_	
35-7	de	_	_	
35-8	skattelettelser	_	_	
35-9	og	_	_	
35-10	siger	_	_	
35-11	,	_	_	
35-12	at	_	_	
35-13	der	_	_	
35-14	altså	_	_	
35-15	er	_	_	
35-16	nogle	_	_	
35-17	folkepensionister	_	_	
35-18	og	_	_	
35-19	førtidspensionister	_	_	
35-20	,	_	_	
35-21	der	_	_	
35-22	har	_	_	
35-23	mere	_	_	
35-24	behov	_	_	
35-25	for	_	_	
35-26	dem	_	_	
35-27	.	_	_	

#id=36
#text= Vi mener  faktisk, at folk, der tjener mere end 1 mio. kr., har fået så mange skattelettelser af hr. Torsten Schack Pedersens parti, at vi kan tage lidt af toppen af dem.
36-1	Vi	_	_	
36-2	mener	_	_	
36-3	faktisk	_	_	
36-4	,	_	_	
36-5	at	_	_	
36-6	folk	_	_	
36-7	,	_	_	
36-8	der	_	_	
36-9	tjener	_	_	
36-10	mere	_	_	
36-11	end	_	_	
36-12	1	_	_	
36-13	mio	_	_	
36-14	.	_	_	
36-15	kr	_	_	
36-16	.	_	_	
36-17	,	_	_	
36-18	har	_	_	
36-19	fået	_	_	
36-20	så	_	_	
36-21	mange	_	_	
36-22	skattelettelser	_	_	
36-23	af	_	_	
36-24	hr	_	_	
36-25	.	_	_	
36-26	Torsten	_	_	
36-27	Schack	_	_	
36-28	Pedersens	_	_	
36-29	parti	_	_	
36-30	,	_	_	
36-31	at	_	_	
36-32	vi	_	_	
36-33	kan	_	_	
36-34	tage	_	_	
36-35	lidt	_	_	
36-36	af	_	_	
36-37	toppen	_	_	
36-38	af	_	_	
36-39	dem	_	_	
36-40	.	_	_	

#id=37
#text= Derfor mener jeg, at vi ligger på toppen af, hvad der er muligt, inden vi mister effekt og provenu, ved at folk tager til udlandet og handler.
37-1	Derfor	_	_	
37-2	mener	_	_	
37-3	jeg	_	_	
37-4	,	_	_	
37-5	at	_	_	
37-6	vi	_	_	
37-7	ligger	_	_	
37-8	på	_	_	
37-9	toppen	_	_	
37-10	af	_	_	
37-11	,	_	_	
37-12	hvad	_	_	
37-13	der	_	_	
37-14	er	_	_	
37-15	muligt	_	_	
37-16	,	_	_	
37-17	inden	_	_	
37-18	vi	_	_	
37-19	mister	_	_	
37-20	effekt	_	_	
37-21	og	_	_	
37-22	provenu	_	_	
37-23	,	_	_	
37-24	ved	_	_	
37-25	at	_	_	
37-26	folk	_	_	
37-27	tager	_	_	
37-28	til	_	_	
37-29	udlandet	_	_	
37-30	og	_	_	
37-31	handler	_	_	
37-32	.	_	_	

#id=38
#text=Når man springer ud fra noget uden at have et grundlag at gøre det på _ det har man selvfølgelig, hvis man står oppe på toppen _ og en viden om, hvad det er, der vil ske ved de handlinger, man foretager sig, kan det komme til at gøre rigtig ondt.
38-1	Når	_	_	
38-2	man	_	_	
38-3	springer	_	_	
38-4	ud	_	_	
38-5	fra	_	_	
38-6	noget	_	_	
38-7	uden	_	_	
38-8	at	_	_	
38-9	have	_	_	
38-10	et	_	_	
38-11	grundlag	_	_	
38-12	at	_	_	
38-13	gøre	_	_	
38-14	det	_	_	
38-15	på	_	_	
38-16	_	_	_	
38-17	det	_	_	
38-18	har	_	_	
38-19	man	_	_	
38-20	selvfølgelig	_	_	
38-21	,	_	_	
38-22	hvis	_	_	
38-23	man	_	_	
38-24	står	_	_	
38-25	oppe	_	_	
38-26	på	_	_	
38-27	toppen	_	_	
38-28	_	_	_	
38-29	og	_	_	
38-30	en	_	_	
38-31	viden	_	_	
38-32	om	_	_	
38-33	,	_	_	
38-34	hvad	_	_	
38-35	det	_	_	
38-36	er	_	_	
38-37	,	_	_	
38-38	der	_	_	
38-39	vil	_	_	
38-40	ske	_	_	
38-41	ved	_	_	
38-42	de	_	_	
38-43	handlinger	_	_	
38-44	,	_	_	
38-45	man	_	_	
38-46	foretager	_	_	
38-47	sig	_	_	
38-48	,	_	_	
38-49	kan	_	_	
38-50	det	_	_	
38-51	komme	_	_	
38-52	til	_	_	
38-53	at	_	_	
38-54	gøre	_	_	
38-55	rigtig	_	_	
38-56	ondt	_	_	
38-57	.	_	_	

#id=39
#text= Situationen er den, at det danske samfund er nået frem til toppen af, hvad vi kan mestre, hvis vi ikke skal have rentestigninger, som igen koster ledige.
39-1	Situationen	_	_	
39-2	er	_	_	
39-3	den	_	_	
39-4	,	_	_	
39-5	at	_	_	
39-6	det	_	_	
39-7	danske	_	_	
39-8	samfund	_	_	
39-9	er	_	_	
39-10	nået	_	_	
39-11	frem	_	_	
39-12	til	_	_	
39-13	toppen	_	_	
39-14	af	_	_	
39-15	,	_	_	
39-16	hvad	_	_	
39-17	vi	_	_	
39-18	kan	_	_	
39-19	mestre	_	_	
39-20	,	_	_	
39-21	hvis	_	_	
39-22	vi	_	_	
39-23	ikke	_	_	
39-24	skal	_	_	
39-25	have	_	_	
39-26	rentestigninger	_	_	
39-27	,	_	_	
39-28	som	_	_	
39-29	igen	_	_	
39-30	koster	_	_	
39-31	ledige	_	_	
39-32	.	_	_	

#id=40
#text=Jeg må jo konstatere, at den skatteomlægning, som Socialdemokraterne og SF ønsker at lave, jo skal ramme alle, både i top og i bund.
40-1	Jeg	_	_	
40-2	må	_	_	
40-3	jo	_	_	
40-4	konstatere	_	_	
40-5	,	_	_	
40-6	at	_	_	
40-7	den	_	_	
40-8	skatteomlægning	_	_	
40-9	,	_	_	
40-10	som	_	_	
40-11	Socialdemokraterne	_	_	
40-12	og	_	_	
40-13	SF	_	_	
40-14	ønsker	_	_	
40-15	at	_	_	
40-16	lave	_	_	
40-17	,	_	_	
40-18	jo	_	_	
40-19	skal	_	_	
40-20	ramme	_	_	
40-21	alle	_	_	
40-22	,	_	_	
40-23	både	_	_	
40-24	i	_	_	
40-25	top	_	_	
40-26	og	_	_	
40-27	i	_	_	
40-28	bund	_	_	
40-29	.	_	_	

#id=41
#text=Det er sådan, at vi har fundet en model, der sikrer, at der både er skattelettelser i bunden og i midten og i toppen af skattesystemet, en model, der sikrer, at de, der måtte blive berørt af ændringerne, vil mærke, at der samtidig er lettelser, og medmindre man har helt ekstraordinære skattemæssige forhold, vil lettelserne klart overstige de ændringer, der kommer i negativ retning.
41-1	Det	_	_	
41-2	er	_	_	
41-3	sådan	_	_	
41-4	,	_	_	
41-5	at	_	_	
41-6	vi	_	_	
41-7	har	_	_	
41-8	fundet	_	_	
41-9	en	_	_	
41-10	model	_	_	
41-11	,	_	_	
41-12	der	_	_	
41-13	sikrer	_	_	
41-14	,	_	_	
41-15	at	_	_	
41-16	der	_	_	
41-17	både	_	_	
41-18	er	_	_	
41-19	skattelettelser	_	_	
41-20	i	_	_	
41-21	bunden	_	_	
41-22	og	_	_	
41-23	i	_	_	
41-24	midten	_	_	
41-25	og	_	_	
41-26	i	_	_	
41-27	toppen	_	_	
41-28	af	_	_	
41-29	skattesystemet	_	_	
41-30	,	_	_	
41-31	en	_	_	
41-32	model	_	_	
41-33	,	_	_	
41-34	der	_	_	
41-35	sikrer	_	_	
41-36	,	_	_	
41-37	at	_	_	
41-38	de	_	_	
41-39	,	_	_	
41-40	der	_	_	
41-41	måtte	_	_	
41-42	blive	_	_	
41-43	berørt	_	_	
41-44	af	_	_	
41-45	ændringerne	_	_	
41-46	,	,	ZD	
41-47	vil	_	_	
41-48	mærke	_	_	
41-49	,	_	_	
41-50	at	_	_	
41-51	der	_	_	
41-52	samtidig	_	_	
41-53	er	_	_	
41-54	lettelser	_	_	
41-55	,	_	_	
41-56	og	_	_	
41-57	medmindre	_	_	
41-58	man	_	_	
41-59	har	_	_	
41-60	helt	_	_	
41-61	ekstraordinære	_	_	
41-62	skattemæssige	_	_	
41-63	forhold	_	_	
41-64	,	_	_	
41-65	vil	_	_	
41-66	lettelserne	_	_	
41-67	klart	_	_	
41-68	overstige	_	_	
41-69	de	_	_	
41-70	ændringer	_	_	
41-71	,	_	_	
41-72	der	_	_	
41-73	kommer	_	_	
41-74	i	_	_	
41-75	negativ	_	_	
41-76	retning	_	_	
41-77	.	_	_	

#id=42
#text= Nu er der hverken noget i vejen med at være gammeldansk eller grå i toppen, men det er nu engang godt for et retssamfund, at de nævninge og domsmænd, som er der, er nogle, som udgør et snit af den befolkning, som man også er inde at dømme.
42-1	Nu	_	_	
42-2	er	_	_	
42-3	der	_	_	
42-4	hverken	_	_	
42-5	noget	_	_	
42-6	i	i	T-:----:--:----	
42-7	vejen	_	_	
42-8	med	_	_	
42-9	at	_	_	
42-10	være	_	_	
42-11	gammeldansk	_	_	
42-12	eller	_	_	
42-13	grå	_	_	
42-14	i	_	_	
42-15	toppen	_	_	
42-16	,	_	_	
42-17	men	_	_	
42-18	det	_	_	
42-19	er	_	_	
42-20	nu	_	_	
42-21	engang	_	_	
42-22	godt	_	_	
42-23	for	_	_	
42-24	et	_	_	
42-25	retssamfund	_	_	
42-26	,	_	_	
42-27	at	_	_	
42-28	de	_	_	
42-29	nævninge	_	_	
42-30	og	_	_	
42-31	domsmænd	_	_	
42-32	,	_	_	
42-33	som	_	_	
42-34	er	_	_	
42-35	der	_	_	
42-36	,	_	_	
42-37	er	_	_	
42-38	nogle	_	_	
42-39	,	_	_	
42-40	som	_	_	
42-41	udgør	_	_	
42-42	et	_	_	
42-43	snit	_	_	
42-44	af	_	_	
42-45	den	_	_	
42-46	befolkning	_	_	
42-47	,	_	_	
42-48	som	_	_	
42-49	man	_	_	
42-50	også	_	_	
42-51	er	_	_	
42-52	inde	_	_	
42-53	at	_	_	
42-54	dømme	_	_	
42-55	.	_	_	

#id=43
#text= Det er også i vores egen interesse af sikkerhedspolitiske grunde, men også af moralske grunde, og derfor har regeringen jo også den målsætning, at vi løbende skal udbygge vores ulandsbistand, som aktuelt udgør 0,82 pct. af BNI, og som bringer Danmark i top fem globalt set, og hr. Steen Gade kan godt regne med, at det er en målsætning, som jeg vil forfølge.
43-1	Det	_	_	
43-2	er	_	_	
43-3	også	_	_	
43-4	i	_	_	
43-5	vores	_	_	
43-6	egen	_	_	
43-7	interesse	_	_	
43-8	af	_	_	
43-9	sikkerhedspolitiske	_	_	
43-10	grunde	_	_	
43-11	,	_	_	
43-12	men	_	_	
43-13	også	_	_	
43-14	af	_	_	
43-15	moralske	_	_	
43-16	grunde	_	_	
43-17	,	_	_	
43-18	og	_	_	
43-19	derfor	_	_	
43-20	har	_	_	
43-21	regeringen	_	_	
43-22	jo	_	_	
43-23	også	_	_	
43-24	den	_	_	
43-25	målsætning	_	_	
43-26	,	_	_	
43-27	at	_	_	
43-28	vi	_	_	
43-29	løbende	_	_	
43-30	skal	_	_	
43-31	udbygge	_	_	
43-32	vores	_	_	
43-33	ulandsbistand	_	_	
43-34	,	_	_	
43-35	som	_	_	
43-36	aktuelt	_	_	
43-37	udgør	_	_	
43-38	0	_	_	
43-39	,	_	_	
43-40	82	_	_	
43-41	pct	_	_	
43-42	.	_	_	
43-43	af	_	_	
43-44	BNI	_	_	
43-45	,	_	_	
43-46	og	_	_	
43-47	som	_	_	
43-48	bringer	_	_	
43-49	Danmark	_	_	
43-50	i	_	_	
43-51	top	_	_	
43-52	fem	_	_	
43-53	globalt	_	_	
43-54	set	_	_	
43-55	,	_	_	
43-56	og	_	_	
43-57	hr	_	_	
43-58	.	_	_	
43-59	Steen	_	_	
43-60	Gade	_	_	
43-61	kan	_	_	
43-62	godt	_	_	
43-63	regne	_	_	
43-64	med	_	_	
43-65	,	_	_	
43-66	at	_	_	
43-67	det	_	_	
43-68	er	_	_	
43-69	en	_	_	
43-70	målsætning	_	_	
43-71	,	_	_	
43-72	som	_	_	
43-73	jeg	_	_	
43-74	vil	_	_	
43-75	forfølge	_	_	
43-76	.	_	_	

#id=44
#text= Ordføreren sagde endda, at man har fået rykket nogle godbidder fra toppen og ned i bunden _ der er åbenbart det, der er sket med skattereformen.
44-1	Ordføreren	_	_	
44-2	sagde	_	_	
44-3	endda	_	_	
44-4	,	_	_	
44-5	at	_	_	
44-6	man	_	_	
44-7	har	_	_	
44-8	fået	_	_	
44-9	rykket	_	_	
44-10	nogle	_	_	
44-11	godbidder	_	_	
44-12	fra	_	_	
44-13	toppen	_	_	
44-14	og	_	_	
44-15	ned	_	_	
44-16	i	_	_	
44-17	bunden	_	_	
44-18	_	_	_	
44-19	der	_	_	
44-20	er	_	_	
44-21	åbenbart	_	_	
44-22	det	_	_	
44-23	,	_	_	
44-24	der	_	_	
44-25	er	_	_	
44-26	sket	_	_	
44-27	med	_	_	
44-28	skattereformen	_	_	
44-29	.	_	_	

#id=45
#text= Man laver aktieskattelettelser, som entydigt gavner i toppen af samfundet, og alligevel bliver man ved med febrilsk at fastholde, at det her er vældig socialt afbalanceret.
45-1	Man	_	_	
45-2	laver	_	_	
45-3	aktieskattelettelser	_	_	
45-4	,	_	_	
45-5	som	_	_	
45-6	entydigt	_	_	
45-7	gavner	_	_	
45-8	i	_	_	
45-9	toppen	_	_	
45-10	af	_	_	
45-11	samfundet	_	_	
45-12	,	_	_	
45-13	og	_	_	
45-14	alligevel	_	_	
45-15	bliver	_	_	
45-16	man	_	_	
45-17	ved	_	_	
45-18	med	_	_	
45-19	febrilsk	_	_	
45-20	at	_	_	
45-21	fastholde	_	_	
45-22	,	_	_	
45-23	at	_	_	
45-24	det	_	_	
45-25	her	_	_	
45-26	er	_	_	
45-27	vældig	_	_	
45-28	socialt	_	_	
45-29	afbalanceret	_	_	
45-30	.	_	_	

#id=46
#text= Altså, på et tidspunkt, hvor en masse unge boligejere har købt på toppen af en prisboble, som regeringen har været med til selv at skabe, laver man en skattereform, hvor man øger det her.
46-1	Altså	_	_	
46-2	,	_	_	
46-3	på	_	_	
46-4	et	_	_	
46-5	tidspunkt	_	_	
46-6	,	_	_	
46-7	hvor	_	_	
46-8	en	_	_	
46-9	masse	_	_	
46-10	unge	_	_	
46-11	boligejere	_	_	
46-12	har	_	_	
46-13	købt	_	_	
46-14	på	_	_	
46-15	toppen	_	_	
46-16	af	_	_	
46-17	en	_	_	
46-18	prisboble	_	_	
46-19	,	_	_	
46-20	som	_	_	
46-21	regeringen	_	_	
46-22	har	_	_	
46-23	været	_	_	
46-24	med	_	_	
46-25	til	_	_	
46-26	selv	_	_	
46-27	at	_	_	
46-28	skabe	_	_	
46-29	,	_	_	
46-30	laver	_	_	
46-31	man	_	_	
46-32	en	_	_	
46-33	skattereform	_	_	
46-34	,	_	_	
46-35	hvor	_	_	
46-36	man	_	_	
46-37	øger	_	_	
46-38	det	_	_	
46-39	her	_	_	
46-40	.	_	_	

#id=47
#text= Venstre ville ikke tage afstand fra vennerne i landbrugets top, men vævede og talte udenom.
47-1	Venstre	_	_	
47-2	ville	_	_	
47-3	ikke	_	_	
47-4	tage	_	_	
47-5	afstand	_	_	
47-6	fra	_	_	
47-7	vennerne	_	_	
47-8	i	_	_	
47-9	landbrugets	_	_	
47-10	top	_	_	
47-11	,	_	_	
47-12	men	_	_	
47-13	vævede	_	_	
47-14	og	_	_	
47-15	talte	_	_	
47-16	udenom	_	_	
47-17	.	_	_	

#id=48
#text= Og når man undlader at regulere personfradraget, ja, så er slutresultatet altså sådan - og det kan regeringen ikke komme uden om - at flere hundrede tusind skatteydere i det her land får et tab eller meget små lettelser i modsætning til dem,  der ligger oppe i toppen af indkomstskalaen.
48-1	Og	_	_	
48-2	når	_	_	
48-3	man	_	_	
48-4	undlader	_	_	
48-5	at	_	_	
48-6	regulere	_	_	
48-7	personfradraget	_	_	
48-8	,	_	_	
48-9	ja	_	_	
48-10	,	_	_	
48-11	så	_	_	
48-12	er	_	_	
48-13	slutresultatet	_	_	
48-14	altså	_	_	
48-15	sådan	_	_	
48-16	-	_	_	
48-17	og	_	_	
48-18	det	_	_	
48-19	kan	_	_	
48-20	regeringen	_	_	
48-21	ikke	_	_	
48-22	komme	_	_	
48-23	uden	_	_	
48-24	om	_	_	
48-25	-	_	_	
48-26	at	_	_	
48-27	flere	_	_	
48-28	hundrede	_	_	
48-29	tusind	_	_	
48-30	skatteydere	_	_	
48-31	i	_	_	
48-32	det	_	_	
48-33	her	_	_	
48-34	land	_	_	
48-35	får	_	_	
48-36	et	_	_	
48-37	tab	_	_	
48-38	eller	_	_	
48-39	meget	_	_	
48-40	små	_	_	
48-41	lettelser	_	_	
48-42	i	_	_	
48-43	modsætning	_	_	
48-44	til	_	_	
48-45	dem	_	_	
48-46	,	_	_	
48-47	der	_	_	
48-48	ligger	_	_	
48-49	oppe	_	_	
48-50	i	_	_	
48-51	toppen	_	_	
48-52	af	_	_	
48-53	indkomstskalaen	_	_	
48-54	.	_	_	

#id=49
#text= Det er jo et problem, som man kan se helt op i toppen af pyramiden, helt oppe i regeringen, hvor man ikke er i stand til at samarbejde på tværs af ministerier.
49-1	Det	_	_	
49-2	er	_	_	
49-3	jo	_	_	
49-4	et	_	_	
49-5	problem	_	_	
49-6	,	_	_	
49-7	som	_	_	
49-8	man	_	_	
49-9	kan	_	_	
49-10	se	_	_	
49-11	helt	_	_	
49-12	op	_	_	
49-13	i	_	_	
49-14	toppen	_	_	
49-15	af	_	_	
49-16	pyramiden	_	_	
49-17	,	_	_	
49-18	helt	_	_	
49-19	oppe	_	_	
49-20	i	_	_	
49-21	regeringen	_	_	
49-22	,	_	_	
49-23	hvor	_	_	
49-24	man	_	_	
49-25	ikke	_	_	
49-26	er	_	_	
49-27	i	_	_	
49-28	stand	_	_	
49-29	til	_	_	
49-30	at	_	_	
49-31	samarbejde	_	_	
49-32	på	_	_	
49-33	tværs	_	_	
49-34	af	_	_	
49-35	ministerier	_	_	
49-36	.	_	_	

#id=50
#text= Danmark ligger i top fem, så vi kunne selvfølgelig godt her i dag bruge meget energi på, hvad Danmark skal bidrage med, men jeg synes egentlig, det er mere vigtigt at fokusere på at få de øvrige lande, som i dag ikke lever op til den gamle 0,7 målsætning, til at leve op til den gamle målsætning.
50-1	Danmark	_	_	
50-2	ligger	_	_	
50-3	i	_	_	
50-4	top	_	_	
